DATAFLOW,AGEINGP: Age,SEXP: Sex,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G04_RA(1.0.0),63: 63,1: Males,20: Major Cities of Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,23518
ABS:C21_G04_RA(1.0.0),11: 11,1: Males,21: Inner Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,7962
ABS:C21_G04_RA(1.0.0),24: 24,1: Males,21: Inner Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,6072
ABS:C21_G04_RA(1.0.0),37: 37,2: Females,21: Inner Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,7428
ABS:C21_G04_RA(1.0.0),62: 62,2: Females,21: Inner Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,9013
ABS:C21_G04_RA(1.0.0),75_79: 75-79 years,2: Females,21: Inner Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,25806
ABS:C21_G04_RA(1.0.0),_T: Total,1: Males,21: Inner Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,597176
ABS:C21_G04_RA(1.0.0),35: 35,2: Females,22: Outer Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,1375
ABS:C21_G04_RA(1.0.0),48: 48,2: Females,22: Outer Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,1577
ABS:C21_G04_RA(1.0.0),73: 73,2: Females,22: Outer Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,1613
ABS:C21_G04_RA(1.0.0),85_89: 85-89 years,3: Persons,22: Outer Regional Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,4688
ABS:C21_G04_RA(1.0.0),9: 9,2: Females,23: Remote Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,19
ABS:C21_G04_RA(1.0.0),46: 46,2: Females,23: Remote Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,9
ABS:C21_G04_RA(1.0.0),54: 54,3: Persons,23: Remote Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,33
ABS:C21_G04_RA(1.0.0),79: 79,3: Persons,23: Remote Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,29
ABS:C21_G04_RA(1.0.0),7: 7,2: Females,25: Migratory - Offshore - Shipping (Vic.),RA: Remoteness Area,2: Victoria,2021,0
ABS:C21_G04_RA(1.0.0),15_19: 15-19 years,3: Persons,25: Migratory - Offshore - Shipping (Vic.),RA: Remoteness Area,2: Victoria,2021,0
ABS:C21_G04_RA(1.0.0),40_44: 40-44 years,3: Persons,25: Migratory - Offshore - Shipping (Vic.),RA: Remoteness Area,2: Victoria,2021,10
ABS:C21_G04_RA(1.0.0),52: 52,3: Persons,25: Migratory - Offshore - Shipping (Vic.),RA: Remoteness Area,2: Victoria,2021,0
ABS:C21_G04_RA(1.0.0),65_69: 65-69 years,3: Persons,25: Migratory - Offshore - Shipping (Vic.),RA: Remoteness Area,2: Victoria,2021,5
ABS:C21_G04_RA(1.0.0),13: 13,3: Persons,29: No usual address (Vic.),RA: Remoteness Area,2: Victoria,2021,64
ABS:C21_G04_RA(1.0.0),25: 25,3: Persons,29: No usual address (Vic.),RA: Remoteness Area,2: Victoria,2021,181
ABS:C21_G04_RA(1.0.0),63: 63,3: Persons,29: No usual address (Vic.),RA: Remoteness Area,2: Victoria,2021,98
ABS:C21_G04_RA(1.0.0),64: 64,1: Males,29: No usual address (Vic.),RA: Remoteness Area,2: Victoria,2021,48
ABS:C21_G04_RA(1.0.0),76: 76,1: Males,29: No usual address (Vic.),RA: Remoteness Area,2: Victoria,2021,15
ABS:C21_G04_RA(1.0.0),27: 27,3: Persons,30: Major Cities of Australia (Qld),RA: Remoteness Area,3: Queensland,2021,47632
ABS:C21_G04_RA(1.0.0),40_44: 40-44 years,3: Persons,30: Major Cities of Australia (Qld),RA: Remoteness Area,3: Queensland,2021,224122
ABS:C21_G04_RA(1.0.0),52: 52,3: Persons,30: Major Cities of Australia (Qld),RA: Remoteness Area,3: Queensland,2021,41985
ABS:C21_G04_RA(1.0.0),77: 77,3: Persons,30: Major Cities of Australia (Qld),RA: Remoteness Area,3: Queensland,2021,20425
ABS:C21_G04_RA(1.0.0),78: 78,1: Males,30: Major Cities of Australia (Qld),RA: Remoteness Area,3: Queensland,2021,8171
ABS:C21_G04_RA(1.0.0),0: 0,3: Persons,31: Inner Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,9825
ABS:C21_G04_RA(1.0.0),13: 13,3: Persons,31: Inner Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,14086
ABS:C21_G04_RA(1.0.0),38: 38,3: Persons,31: Inner Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,11978
ABS:C21_G04_RA(1.0.0),51: 51,1: Males,31: Inner Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,6303
ABS:C21_G04_RA(1.0.0),64: 64,1: Males,31: Inner Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,6608
ABS:C21_G04_RA(1.0.0),76: 76,1: Males,31: Inner Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,4690
ABS:C21_G04_RA(1.0.0),12: 12,1: Males,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,4952
ABS:C21_G04_RA(1.0.0),25_29: 25-29 years,1: Males,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,22221
ABS:C21_G04_RA(1.0.0),37: 37,1: Males,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,4348
ABS:C21_G04_RA(1.0.0),50_54: 50-54 years,1: Males,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,23385
ABS:C21_G04_RA(1.0.0),62: 62,1: Males,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,4530
ABS:C21_G04_RA(1.0.0),63: 63,2: Females,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,4323
ABS:C21_G04_RA(1.0.0),75: 75,2: Females,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,2471
ABS:C21_G04_RA(1.0.0),_T: Total,3: Persons,32: Outer Regional Australia (Qld),RA: Remoteness Area,3: Queensland,2021,688508
ABS:C21_G04_RA(1.0.0),10: 10,1: Males,33: Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,522
ABS:C21_G04_RA(1.0.0),23: 23,1: Males,33: Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,443
ABS:C21_G04_RA(1.0.0),24: 24,2: Females,33: Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,475
ABS:C21_G04_RA(1.0.0),36: 36,2: Females,33: Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,472
ABS:C21_G04_RA(1.0.0),61: 61,2: Females,33: Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,424
ABS:C21_G04_RA(1.0.0),74: 74,2: Females,33: Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,258
ABS:C21_G04_RA(1.0.0),22: 22,2: Females,34: Very Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,339
ABS:C21_G04_RA(1.0.0),35_39: 35-39 years,2: Females,34: Very Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,1795
ABS:C21_G04_RA(1.0.0),80_84: 80-84 years,3: Persons,34: Very Remote Australia (Qld),RA: Remoteness Area,3: Queensland,2021,702
ABS:C21_G04_RA(1.0.0),8: 8,2: Females,35: Migratory - Offshore - Shipping (Qld),RA: Remoteness Area,3: Queensland,2021,0
ABS:C21_G04_RA(1.0.0),40: 40,3: Persons,35: Migratory - Offshore - Shipping (Qld),RA: Remoteness Area,3: Queensland,2021,10
ABS:C21_G04_RA(1.0.0),53: 53,3: Persons,35: Migratory - Offshore - Shipping (Qld),RA: Remoteness Area,3: Queensland,2021,0
ABS:C21_G04_RA(1.0.0),78: 78,3: Persons,35: Migratory - Offshore - Shipping (Qld),RA: Remoteness Area,3: Queensland,2021,0
ABS:C21_G04_RA(1.0.0),14: 14,3: Persons,39: No usual address (Qld),RA: Remoteness Area,3: Queensland,2021,67
ABS:C21_G04_RA(1.0.0),26: 26,3: Persons,39: No usual address (Qld),RA: Remoteness Area,3: Queensland,2021,315
ABS:C21_G04_RA(1.0.0),39: 39,3: Persons,39: No usual address (Qld),RA: Remoteness Area,3: Queensland,2021,204
ABS:C21_G04_RA(1.0.0),51: 51,3: Persons,39: No usual address (Qld),RA: Remoteness Area,3: Queensland,2021,198
ABS:C21_G04_RA(1.0.0),65_69: 65-69 years,1: Males,39: No usual address (Qld),RA: Remoteness Area,3: Queensland,2021,730
ABS:C21_G04_RA(1.0.0),10: 10,2: Females,40: Major Cities of Australia (SA),RA: Remoteness Area,4: South Australia,2021,7666
ABS:C21_G04_RA(1.0.0),23: 23,2: Females,40: Major Cities of Australia (SA),RA: Remoteness Area,4: South Australia,2021,8812
ABS:C21_G04_RA(1.0.0),35: 35,2: Females,40: Major Cities of Australia (SA),RA: Remoteness Area,4: South Australia,2021,9822
ABS:C21_G04_RA(1.0.0),68: 68,3: Persons,40: Major Cities of Australia (SA),RA: Remoteness Area,4: South Australia,2021,13929
ABS:C21_G04_RA(1.0.0),21: 21,2: Females,41: Inner Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,758
ABS:C21_G04_RA(1.0.0),29: 29,3: Persons,41: Inner Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,1566
ABS:C21_G04_RA(1.0.0),41: 41,3: Persons,41: Inner Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,1787
ABS:C21_G04_RA(1.0.0),66: 66,3: Persons,41: Inner Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,2615
ABS:C21_G04_RA(1.0.0),79: 79,3: Persons,41: Inner Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,1479
ABS:C21_G04_RA(1.0.0),80_84: 80-84 years,1: Males,41: Inner Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,2646
ABS:C21_G04_RA(1.0.0),2: 2,3: Persons,42: Outer Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,2045
ABS:C21_G04_RA(1.0.0),27: 27,3: Persons,42: Outer Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,2160
ABS:C21_G04_RA(1.0.0),40_44: 40-44 years,3: Persons,42: Outer Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,10506
ABS:C21_G04_RA(1.0.0),52: 52,3: Persons,42: Outer Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,2752
ABS:C21_G04_RA(1.0.0),77: 77,3: Persons,42: Outer Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,1892
ABS:C21_G04_RA(1.0.0),78: 78,1: Males,42: Outer Regional Australia (SA),RA: Remoteness Area,4: South Australia,2021,774
ABS:C21_G04_RA(1.0.0),0: 0,3: Persons,43: Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,473
ABS:C21_G04_RA(1.0.0),13: 13,3: Persons,43: Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,530
ABS:C21_G04_RA(1.0.0),51: 51,1: Males,43: Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,270
ABS:C21_G04_RA(1.0.0),64: 64,1: Males,43: Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,321
ABS:C21_G04_RA(1.0.0),12: 12,1: Males,44: Very Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,87
ABS:C21_G04_RA(1.0.0),25_29: 25-29 years,1: Males,44: Very Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,502
ABS:C21_G04_RA(1.0.0),50_54: 50-54 years,1: Males,44: Very Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,510
ABS:C21_G04_RA(1.0.0),62: 62,1: Males,44: Very Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,93
ABS:C21_G04_RA(1.0.0),63: 63,2: Females,44: Very Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,87
ABS:C21_G04_RA(1.0.0),75: 75,2: Females,44: Very Remote Australia (SA),RA: Remoteness Area,4: South Australia,2021,30
ABS:C21_G04_RA(1.0.0),10: 10,1: Males,45: Migratory - Offshore - Shipping (SA),RA: Remoteness Area,4: South Australia,2021,0
ABS:C21_G04_RA(1.0.0),23: 23,1: Males,45: Migratory - Offshore - Shipping (SA),RA: Remoteness Area,4: South Australia,2021,0
ABS:C21_G04_RA(1.0.0),24: 24,2: Females,45: Migratory - Offshore - Shipping (SA),RA: Remoteness Area,4: South Australia,2021,0
ABS:C21_G04_RA(1.0.0),36: 36,2: Females,45: Migratory - Offshore - Shipping (SA),RA: Remoteness Area,4: South Australia,2021,0
ABS:C21_G04_RA(1.0.0),61: 61,2: Females,45: Migratory - Offshore - Shipping (SA),RA: Remoteness Area,4: South Australia,2021,0
ABS:C21_G04_RA(1.0.0),74: 74,2: Females,45: Migratory - Offshore - Shipping (SA),RA: Remoteness Area,4: South Australia,2021,0
ABS:C21_G04_RA(1.0.0),10_14: 10-14 years,2: Females,49: No usual address (SA),RA: Remoteness Area,4: South Australia,2021,70
ABS:C21_G04_RA(1.0.0),22: 22,2: Females,49: No usual address (SA),RA: Remoteness Area,4: South Australia,2021,16
ABS:C21_G04_RA(1.0.0),35_39: 35-39 years,2: Females,49: No usual address (SA),RA: Remoteness Area,4: South Australia,2021,137
ABS:C21_G04_RA(1.0.0),80_84: 80-84 years,3: Persons,49: No usual address (SA),RA: Remoteness Area,4: South Australia,2021,18
ABS:C21_G04_RA(1.0.0),20_24: 20-24 years,1: Males,50: Major Cities of Australia (WA),RA: Remoteness Area,5: Western Australia,2021,66092
ABS:C21_G04_RA(1.0.0),32: 32,1: Males,50: Major Cities of Australia (WA),RA: Remoteness Area,5: Western Australia,2021,15274
ABS:C21_G04_RA(1.0.0),33: 33,2: Females,50: Major Cities of Australia (WA),RA: Remoteness Area,5: Western Australia,2021,16538
ABS:C21_G04_RA(1.0.0),45: 45,2: Females,50: Major Cities of Australia (WA),RA: Remoteness Area,5: Western Australia,2021,13562
ABS:C21_G04_RA(1.0.0),58: 58,2: Females,50: Major Cities of Australia (WA),RA: Remoteness Area,5: Western Australia,2021,12667
ABS:C21_G04_RA(1.0.0),70: 70,2: Females,50: Major Cities of Australia (WA),RA: Remoteness Area,5: Western Australia,2021,9437
ABS:C21_G04_RA(1.0.0),6: 6,2: Females,51: Inner Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1375
ABS:C21_G04_RA(1.0.0),19: 19,2: Females,51: Inner Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1060
ABS:C21_G04_RA(1.0.0),31: 31,2: Females,51: Inner Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1288
ABS:C21_G04_RA(1.0.0),44: 44,2: Females,51: Inner Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1448
ABS:C21_G04_RA(1.0.0),5_9: 5-9 years,2: Females,52: Outer Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,5704
ABS:C21_G04_RA(1.0.0),17: 17,2: Females,52: Outer Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1095
ABS:C21_G04_RA(1.0.0),50_54: 50-54 years,3: Persons,52: Outer Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,12677
ABS:C21_G04_RA(1.0.0),62: 62,3: Persons,52: Outer Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,2708
ABS:C21_G04_RA(1.0.0),75_79: 75-79 years,3: Persons,52: Outer Regional Australia (WA),RA: Remoteness Area,5: Western Australia,2021,6893
ABS:C21_G04_RA(1.0.0),23: 23,3: Persons,53: Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,892
ABS:C21_G04_RA(1.0.0),35: 35,3: Persons,53: Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1559
ABS:C21_G04_RA(1.0.0),48: 48,3: Persons,53: Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1143
ABS:C21_G04_RA(1.0.0),60: 60,3: Persons,53: Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1113
ABS:C21_G04_RA(1.0.0),61: 61,1: Males,53: Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,572
ABS:C21_G04_RA(1.0.0),74: 74,1: Males,53: Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,280
ABS:C21_G04_RA(1.0.0),9: 9,3: Persons,54: Very Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,774
ABS:C21_G04_RA(1.0.0),21: 21,3: Persons,54: Very Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,708
ABS:C21_G04_RA(1.0.0),35_39: 35-39 years,1: Males,54: Very Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,3033
ABS:C21_G04_RA(1.0.0),47: 47,1: Males,54: Very Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,516
ABS:C21_G04_RA(1.0.0),60_64: 60-64 years,1: Males,54: Very Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,1898
ABS:C21_G04_RA(1.0.0),72: 72,1: Males,54: Very Remote Australia (WA),RA: Remoteness Area,5: Western Australia,2021,141
ABS:C21_G04_RA(1.0.0),8: 8,1: Males,55: Migratory - Offshore - Shipping (WA),RA: Remoteness Area,5: Western Australia,2021,0
ABS:C21_G04_RA(1.0.0),33: 33,1: Males,55: Migratory - Offshore - Shipping (WA),RA: Remoteness Area,5: Western Australia,2021,11
ABS:C21_G04_RA(1.0.0),45: 45,1: Males,55: Migratory - Offshore - Shipping (WA),RA: Remoteness Area,5: Western Australia,2021,5
ABS:C21_G04_RA(1.0.0),71: 71,2: Females,55: Migratory - Offshore - Shipping (WA),RA: Remoteness Area,5: Western Australia,2021,0
ABS:C21_G04_RA(1.0.0),6: 6,1: Males,59: No usual address (WA),RA: Remoteness Area,5: Western Australia,2021,21
ABS:C21_G04_RA(1.0.0),45_49: 45-49 years,2: Females,59: No usual address (WA),RA: Remoteness Area,5: Western Australia,2021,244
ABS:C21_G04_RA(1.0.0),57: 57,2: Females,59: No usual address (WA),RA: Remoteness Area,5: Western Australia,2021,49
ABS:C21_G04_RA(1.0.0),20: 20,1: Males,61: Inner Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,1978
ABS:C21_G04_RA(1.0.0),33: 33,1: Males,61: Inner Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,2497
ABS:C21_G04_RA(1.0.0),58: 58,1: Males,61: Inner Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,1994
ABS:C21_G04_RA(1.0.0),59: 59,2: Females,61: Inner Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,2261
ABS:C21_G04_RA(1.0.0),71: 71,2: Females,61: Inner Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,1860
ABS:C21_G04_RA(1.0.0),19: 19,1: Males,62: Outer Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,974
ABS:C21_G04_RA(1.0.0),32: 32,2: Females,62: Outer Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,1075
ABS:C21_G04_RA(1.0.0),45_49: 45-49 years,2: Females,62: Outer Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,6049
ABS:C21_G04_RA(1.0.0),70_74: 70-74 years,2: Females,62: Outer Regional Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,6712
ABS:C21_G04_RA(1.0.0),5: 5,2: Females,63: Remote Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,33
ABS:C21_G04_RA(1.0.0),18: 18,2: Females,63: Remote Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,16
ABS:C21_G04_RA(1.0.0),30: 30,2: Females,63: Remote Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,49
ABS:C21_G04_RA(1.0.0),43: 43,2: Females,63: Remote Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,44
ABS:C21_G04_RA(1.0.0),4: 4,2: Females,64: Very Remote Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,13
ABS:C21_G04_RA(1.0.0),49: 49,3: Persons,64: Very Remote Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,33
ABS:C21_G04_RA(1.0.0),61: 61,3: Persons,64: Very Remote Australia (Tas.),RA: Remoteness Area,6: Tasmania,2021,39
ABS:C21_G04_RA(1.0.0),10_14: 10-14 years,3: Persons,65: Migratory - Offshore - Shipping (Tas.),RA: Remoteness Area,6: Tasmania,2021,0
ABS:C21_G04_RA(1.0.0),22: 22,3: Persons,65: Migratory - Offshore - Shipping (Tas.),RA: Remoteness Area,6: Tasmania,2021,0
ABS:C21_G04_RA(1.0.0),47: 47,3: Persons,65: Migratory - Offshore - Shipping (Tas.),RA: Remoteness Area,6: Tasmania,2021,0
ABS:C21_G04_RA(1.0.0),60: 60,1: Males,65: Migratory - Offshore - Shipping (Tas.),RA: Remoteness Area,6: Tasmania,2021,0
ABS:C21_G04_RA(1.0.0),73: 73,1: Males,65: Migratory - Offshore - Shipping (Tas.),RA: Remoteness Area,6: Tasmania,2021,0
ABS:C21_G04_RA(1.0.0),20: 20,3: Persons,69: No usual address (Tas.),RA: Remoteness Area,6: Tasmania,2021,38
ABS:C21_G04_RA(1.0.0),34: 34,1: Males,69: No usual address (Tas.),RA: Remoteness Area,6: Tasmania,2021,6
ABS:C21_G04_RA(1.0.0),46: 46,1: Males,69: No usual address (Tas.),RA: Remoteness Area,6: Tasmania,2021,11
ABS:C21_G04_RA(1.0.0),59: 59,1: Males,69: No usual address (Tas.),RA: Remoteness Area,6: Tasmania,2021,17
ABS:C21_G04_RA(1.0.0),71: 71,1: Males,69: No usual address (Tas.),RA: Remoteness Area,6: Tasmania,2021,12
ABS:C21_G04_RA(1.0.0),72: 72,2: Females,69: No usual address (Tas.),RA: Remoteness Area,6: Tasmania,2021,6
ABS:C21_G04_RA(1.0.0),10_14: 10-14 years,3: Persons,72: Outer Regional Australia (NT),RA: Remoteness Area,7: Northern Territory,2021,9009
ABS:C21_G04_RA(1.0.0),22: 22,3: Persons,72: Outer Regional Australia (NT),RA: Remoteness Area,7: Northern Territory,2021,1801
ABS:C21_G04_RA(1.0.0),35_39: 35-39 years,3: Persons,72: Outer Regional Australia (NT),RA: Remoteness Area,7: Northern Territory,2021,11849
ABS:C21_G04_RA(1.0.0),47: 47,3: Persons,72: Outer Regional Australia (NT),RA: Remoteness Area,7: Northern Territory,2021,1843
